Name,Jones (vector)
12a_15,{-7; 5; -1; 4; -10; 19; -29; 37; -40; 39; -32; 23; -13; 5; -1}
12a_16,{-6; 6; 1; -4; 9; -16; 24; -29; 32; -30; 24; -17; 10; -4; 1}
12a_17,{-4; 8; -1; 4; -9; 17; -25; 32; -35; 34; -28; 20; -12; 5; -1}
12a_18,{-5; 7; 1; -3; 7; -12; 17; -21; 23; -22; 19; -13; 8; -4; 1}
12a_19,{-9; 3; 1; -4; 9; -16; 23; -28; 30; -28; 23; -15; 9; -4; 1}
12a_20,{-7; 5; -1; 4; -9; 16; -23; 28; -30; 29; -23; 16; -9; 4; -1}
12a_21,{0; 12; 1; -3; 8; -14; 22; -28; 31; -30; 25; -18; 11; -5; 1}
12a_22,{-8; 4; 1; -3; 6; -11; 16; -20; 23; -22; 19; -14; 9; -4; 1}
12a_23,{-6; 6; 1; -3; 8; -15; 22; -28; 30; -28; 24; -16; 9; -4; 1}
12a_24,{-2; 10; 1; -3; 7; -12; 18; -22; 25; -24; 20; -15; 9; -4; 1}
12a_25,{-6; 6; 1; -3; 7; -13; 20; -26; 29; -28; 24; -17; 11; -5; 1}
12a_26,{-11; 1; -1; 3; -7; 12; -17; 21; -22; 21; -17; 12; -7; 4; -1}
12a_27,{-10; 2; -1; 3; -7; 13; -20; 26; -29; 29; -24; 18; -11; 5; -1}
12a_28,{-3; 9; 1; -3; 7; -13; 20; -25; 28; -26; 22; -16; 9; -4; 1}
12a_29,{-9; 3; 1; -4; 9; -17; 26; -32; 35; -33; 27; -19; 11; -4; 1}
12a_30,{-7; 5; -1; 3; -7; 14; -21; 27; -30; 29; -24; 18; -10; 4; -1}
12a_31,{-3; 9; 1; -3; 7; -12; 17; -20; 22; -20; 16; -11; 6; -3; 1}
12a_32,{-8; 4; -1; 3; -6; 11; -16; 20; -22; 21; -17; 13; -8; 4; -1}
12a_33,{-7; 5; -1; 3; -7; 14; -21; 27; -30; 29; -24; 18; -10; 4; -1}
12a_34,{1; 13; 1; -2; 5; -8; 12; -15; 17; -17; 15; -11; 7; -4; 1}
12a_35,{0; 12; 1; -3; 8; -14; 21; -26; 28; -26; 22; -15; 8; -4; 1}
12a_36,{1; 13; 1; -2; 6; -11; 17; -22; 25; -24; 21; -16; 9; -4; 1}
12a_37,{0; 12; 1; -2; 5; -9; 14; -18; 21; -20; 17; -13; 8; -4; 1}
12a_38,{-1; 11; 1; -2; 4; -6; 8; -9; 10; -9; 8; -6; 4; -3; 1}
12a_39,{-8; 4; -1; 3; -8; 15; -22; 28; -29; 28; -23; 16; -9; 4; -1}
12a_40,{-3; 9; 1; -4; 10; -18; 26; -31; 34; -31; 25; -17; 9; -4; 1}
12a_41,{-11; 1; -1; 4; -10; 17; -24; 28; -29; 27; -20; 14; -7; 3; -1}
12a_42,{-10; 2; -1; 3; -7; 11; -15; 19; -20; 19; -15; 11; -6; 3; -1}
12a_43,{3; 15; 1; -3; 9; -15; 24; -30; 32; -31; 25; -18; 10; -4; 1}
12a_44,{0; 12; 1; -3; 9; -17; 26; -32; 35; -33; 27; -19; 10; -4; 1}
12a_45,{-8; 4; -1; 3; -8; 15; -22; 27; -28; 27; -21; 15; -8; 3; -1}
12a_46,{-7; 5; -1; 3; -8; 14; -19; 24; -25; 24; -19; 13; -7; 3; -1}
12a_47,{0; 12; 1; -3; 8; -15; 23; -28; 31; -29; 24; -17; 9; -4; 1}
12a_48,{-6; 6; 1; -4; 11; -21; 31; -39; 42; -39; 33; -22; 12; -5; 1}
12a_49,{-10; 2; -1; 4; -11; 19; -28; 35; -36; 35; -28; 19; -10; 4; -1}
12a_50,{-8; 4; -1; 3; -8; 13; -18; 23; -23; 22; -17; 12; -7; 3; -1}
12a_51,{-7; 5; -1; 3; -8; 14; -21; 28; -29; 29; -24; 17; -10; 4; -1}
12a_52,{4; 16; 1; -2; 6; -8; 12; -15; 16; -16; 13; -10; 6; -3; 1}
12a_53,{3; 15; 1; -3; 9; -15; 22; -26; 28; -26; 20; -14; 7; -3; 1}
12a_54,{-5; 7; -1; 3; -7; 13; -19; 25; -26; 25; -21; 15; -9; 4; -1}
12a_55,{3; 15; 1; -2; 6; -10; 17; -22; 24; -24; 20; -15; 9; -4; 1}
12a_56,{2; 14; 1; -2; 5; -7; 10; -12; 13; -12; 10; -8; 5; -3; 1}
12a_57,{-7; 5; -1; 4; -9; 16; -22; 26; -28; 26; -20; 14; -7; 3; -1}
12a_58,{-6; 6; 1; -4; 9; -17; 25; -30; 33; -30; 25; -17; 9; -4; 1}
12a_59,{-3; 9; 1; -5; 13; -23; 33; -39; 42; -38; 30; -20; 10; -4; 1}
12a_60,{-6; 6; 1; -4; 11; -21; 31; -39; 42; -39; 33; -22; 12; -5; 1}
12a_61,{-4; 8; -1; 3; -7; 14; -20; 26; -28; 27; -23; 16; -9; 4; -1}
12a_62,{-5; 7; -1; 3; -6; 11; -15; 19; -20; 18; -15; 11; -6; 3; -1}
12a_63,{-3; 9; 1; -5; 13; -23; 33; -39; 42; -38; 30; -20; 10; -4; 1}
12a_64,{0; 12; 1; -3; 9; -17; 26; -32; 35; -33; 27; -19; 10; -4; 1}
12a_65,{-8; 4; -1; 3; -8; 15; -22; 27; -28; 27; -21; 15; -8; 3; -1}
12a_66,{-5; 7; -1; 4; -11; 21; -29; 36; -38; 35; -28; 19; -10; 4; -1}
12a_67,{-8; 4; -1; 4; -10; 19; -27; 33; -35; 32; -26; 18; -9; 4; -1}
12a_68,{-7; 5; -1; 4; -9; 16; -22; 27; -29; 27; -22; 15; -8; 4; -1}
12a_69,{-9; 3; 1; -4; 10; -19; 28; -35; 38; -36; 30; -20; 12; -5; 1}
12a_70,{-11; 1; -1; 4; -10; 19; -28; 34; -37; 35; -28; 20; -11; 5; -1}
12a_71,{-4; 8; -1; 4; -9; 17; -24; 30; -33; 31; -25; 18; -10; 4; -1}
12a_72,{-5; 7; -1; 4; -9; 17; -24; 29; -31; 29; -23; 16; -9; 4; -1}
12a_73,{-3; 9; 1; -4; 10; -18; 26; -31; 34; -31; 25; -17; 9; -4; 1}
12a_74,{-9; 3; 1; -5; 12; -22; 32; -38; 41; -38; 30; -20; 11; -4; 1}
12a_75,{0; 12; 1; -3; 8; -15; 23; -29; 33; -31; 26; -19; 11; -5; 1}
12a_76,{-1; 11; 1; -3; 7; -12; 17; -20; 22; -20; 17; -12; 7; -4; 1}
12a_77,{-6; 6; 1; -4; 10; -18; 26; -33; 36; -33; 28; -19; 11; -5; 1}
12a_78,{-11; 1; -1; 3; -7; 12; -18; 22; -23; 22; -17; 13; -7; 3; -1}
12a_79,{-5; 7; -1; 4; -9; 17; -24; 30; -32; 29; -24; 17; -9; 4; -1}
12a_80,{-5; 7; -1; 4; -9; 16; -22; 26; -27; 25; -19; 13; -7; 3; -1}
12a_81,{-4; 8; -1; 4; -8; 14; -19; 23; -25; 23; -18; 13; -7; 3; -1}
12a_82,{3; 15; 1; -3; 9; -15; 23; -28; 30; -29; 23; -16; 9; -4; 1}
12a_83,{0; 12; 1; -4; 10; -17; 25; -30; 33; -30; 24; -17; 9; -4; 1}
12a_84,{-8; 4; -1; 4; -10; 17; -24; 30; -31; 29; -23; 16; -9; 4; -1}
12a_85,{-11; 1; -1; 3; -8; 13; -18; 22; -22; 21; -16; 11; -6; 3; -1}
12a_86,{-10; 2; -1; 3; -8; 13; -19; 25; -26; 26; -21; 15; -9; 4; -1}
12a_87,{-8; 4; -1; 3; -8; 14; -20; 26; -27; 26; -21; 15; -9; 4; -1}
12a_88,{-3; 9; 1; -5; 14; -25; 36; -44; 47; -43; 35; -23; 12; -5; 1}
12a_89,{-10; 2; -1; 3; -8; 14; -20; 25; -26; 25; -20; 14; -7; 3; -1}
12a_90,{-3; 9; 1; -4; 10; -18; 27; -33; 36; -33; 27; -19; 10; -4; 1}
12a_91,{-1; 11; -1; 5; -11; 20; -27; 33; -35; 32; -26; 17; -9; 4; -1}
12a_92,{-8; 4; -1; 4; -10; 17; -24; 29; -30; 28; -21; 15; -8; 3; -1}
12a_93,{4; 16; 1; -2; 6; -9; 14; -17; 18; -18; 15; -11; 6; -3; 1}
12a_94,{3; 15; 1; -3; 8; -13; 20; -24; 26; -24; 19; -14; 7; -3; 1}
12a_95,{-2; 10; -1; 4; -9; 17; -23; 29; -31; 28; -23; 16; -9; 4; -1}
12a_96,{3; 15; 1; -2; 5; -8; 13; -16; 18; -17; 14; -11; 6; -3; 1}
12a_97,{2; 14; 1; -3; 7; -11; 16; -18; 20; -18; 14; -11; 6; -3; 1}
12a_98,{-4; 8; -1; 4; -9; 16; -22; 28; -30; 28; -23; 16; -9; 4; -1}
12a_99,{-6; 6; 1; -5; 11; -19; 27; -32; 35; -31; 25; -17; 9; -4; 1}
12a_100,{-7; 5; -1; 4; -11; 19; -27; 34; -35; 34; -27; 18; -10; 4; -1}
12a_101,{-5; 7; -1; 4; -11; 20; -28; 35; -36; 34; -27; 18; -10; 4; -1}
12a_102,{3; 15; 1; -4; 12; -20; 30; -36; 38; -36; 28; -19; 10; -4; 1}
12a_103,{-3; 9; 1; -3; 9; -17; 25; -32; 35; -33; 28; -19; 11; -5; 1}
12a_104,{-10; 2; -1; 4; -9; 14; -20; 24; -25; 24; -18; 13; -7; 3; -1}
12a_105,{1; 13; 1; -3; 7; -11; 16; -18; 20; -19; 15; -11; 6; -3; 1}
12a_106,{0; 12; 1; -3; 7; -12; 18; -21; 23; -21; 17; -12; 6; -3; 1}
12a_107,{3; 15; 1; -4; 12; -20; 30; -36; 38; -36; 28; -19; 10; -4; 1}
12a_108,{-3; 9; 1; -5; 12; -21; 30; -35; 38; -34; 27; -18; 9; -4; 1}
12a_109,{-7; 5; -1; 3; -7; 12; -17; 22; -23; 22; -18; 13; -7; 3; -1}
12a_110,{0; 12; 1; -3; 8; -14; 21; -26; 29; -27; 22; -16; 9; -4; 1}
12a_111,{-1; 11; -1; 5; -11; 20; -27; 33; -35; 32; -26; 17; -9; 4; -1}
12a_112,{-8; 4; -1; 4; -9; 15; -21; 25; -26; 24; -18; 13; -7; 3; -1}
12a_113,{-3; 9; 1; -4; 11; -19; 27; -33; 35; -32; 26; -17; 9; -4; 1}
12a_114,{0; 12; 1; -3; 9; -16; 24; -30; 32; -30; 25; -17; 9; -4; 1}
12a_115,{-5; 7; -1; 4; -11; 20; -28; 35; -36; 34; -27; 18; -10; 4; -1}
12a_116,{-8; 4; -1; 3; -8; 15; -21; 26; -27; 25; -20; 14; -7; 3; -1}
12a_117,{0; 12; 1; -3; 9; -16; 24; -30; 32; -30; 25; -17; 9; -4; 1}
12a_118,{-7; 5; -1; 3; -7; 12; -16; 20; -21; 20; -16; 11; -6; 3; -1}
12a_119,{-1; 11; -1; 4; -9; 17; -22; 28; -30; 27; -23; 15; -8; 4; -1}
12a_120,{-3; 9; 1; -5; 12; -21; 30; -35; 38; -34; 27; -18; 9; -4; 1}
12a_121,{-7; 5; -1; 3; -6; 11; -16; 20; -22; 21; -17; 13; -7; 3; -1}
12a_122,{-8; 4; -1; 3; -8; 15; -21; 26; -27; 25; -20; 14; -7; 3; -1}
12a_123,{-10; 2; 1; -3; 7; -13; 18; -22; 23; -21; 18; -12; 7; -3; 1}
12a_124,{-9; 3; 1; -3; 7; -13; 18; -22; 24; -22; 18; -12; 7; -3; 1}
12a_125,{-6; 6; 1; -3; 8; -15; 22; -27; 29; -27; 22; -15; 8; -3; 1}
12a_126,{-6; 6; 1; -4; 10; -19; 28; -34; 37; -34; 28; -19; 10; -4; 1}
12a_127,{-3; 9; 1; -2; 6; -11; 17; -23; 25; -24; 21; -15; 9; -4; 1}
12a_128,{-4; 8; 1; -2; 5; -8; 11; -14; 15; -14; 12; -9; 6; -3; 1}
12a_129,{-4; 8; -1; 3; -7; 13; -18; 23; -24; 23; -19; 13; -7; 3; -1}
12a_130,{-5; 7; -1; 3; -7; 13; -18; 23; -24; 22; -18; 13; -7; 3; -1}
12a_131,{-8; 4; -1; 4; -10; 19; -28; 34; -36; 34; -27; 19; -10; 4; -1}
12a_132,{-6; 6; 1; -4; 10; -19; 28; -34; 37; -34; 28; -19; 10; -4; 1}
12a_133,{-8; 4; -1; 4; -10; 19; -28; 34; -36; 34; -27; 19; -10; 4; -1}
12a_134,{-7; 5; -1; 3; -8; 16; -24; 32; -35; 34; -29; 21; -12; 5; -1}
12a_135,{-8; 4; -1; 3; -7; 13; -19; 25; -27; 26; -22; 16; -10; 5; -1}
12a_136,{-8; 4; -1; 4; -10; 19; -27; 33; -35; 32; -26; 18; -9; 4; -1}
12a_137,{-8; 4; -1; 4; -9; 17; -25; 31; -34; 32; -26; 19; -11; 5; -1}
12a_138,{-4; 8; -1; 4; -9; 17; -25; 32; -35; 34; -28; 20; -12; 5; -1}
12a_139,{-6; 6; 1; -4; 10; -19; 29; -37; 41; -39; 33; -23; 14; -6; 1}
12a_140,{-5; 7; -1; 4; -9; 16; -22; 27; -28; 26; -21; 14; -8; 4; -1}
12a_141,{-5; 7; -1; 4; -8; 14; -20; 24; -25; 23; -18; 13; -7; 3; -1}
12a_142,{-1; 11; -1; 4; -8; 15; -21; 27; -29; 27; -23; 16; -9; 4; -1}
12a_143,{4; 16; 1; -2; 5; -6; 9; -11; 12; -12; 10; -8; 5; -3; 1}
12a_144,{3; 15; 1; -3; 8; -13; 19; -22; 24; -22; 17; -12; 6; -3; 1}
12a_145,{3; 15; 1; -3; 8; -13; 21; -26; 28; -27; 22; -16; 9; -4; 1}
12a_146,{-12; 0; -1; 2; -4; 5; -6; 7; -7; 7; -5; 5; -3; 2; -1}
12a_147,{-11; 1; -1; 2; -5; 8; -12; 16; -16; 16; -13; 10; -6; 3; -1}
12a_148,{-11; 1; -1; 3; -8; 14; -20; 24; -25; 24; -18; 13; -7; 3; -1}
12a_149,{-3; 9; 1; -4; 9; -16; 24; -29; 32; -29; 24; -17; 9; -4; 1}
12a_150,{-10; 2; -1; 2; -6; 11; -17; 23; -24; 25; -21; 15; -9; 4; -1}
12a_151,{-2; 10; -1; 4; -8; 14; -18; 22; -23; 20; -16; 11; -6; 3; -1}
12a_152,{2; 14; 1; -3; 7; -10; 14; -16; 17; -15; 12; -9; 5; -3; 1}
12a_153,{-10; 2; -1; 2; -5; 8; -11; 15; -16; 16; -13; 10; -6; 3; -1}
12a_154,{0; 12; 1; -4; 11; -20; 30; -36; 39; -36; 29; -20; 10; -4; 1}
12a_155,{-4; 8; -1; 4; -8; 15; -21; 25; -27; 25; -20; 14; -7; 3; -1}
12a_156,{2; 14; 1; -3; 7; -12; 18; -20; 22; -20; 16; -12; 6; -3; 1}
12a_157,{-5; 7; -1; 4; -10; 18; -24; 29; -30; 27; -21; 14; -7; 3; -1}
12a_158,{1; 13; 1; -3; 6; -9; 14; -16; 18; -17; 14; -11; 6; -3; 1}
12a_159,{0; 12; 1; -4; 9; -14; 20; -23; 25; -22; 17; -12; 6; -3; 1}
12a_160,{-11; 1; -1; 3; -6; 9; -13; 15; -15; 14; -10; 8; -4; 2; -1}
12a_161,{-10; 2; -1; 3; -7; 12; -18; 22; -23; 23; -18; 13; -7; 3; -1}
12a_162,{0; 12; 1; -4; 11; -20; 30; -36; 39; -36; 29; -20; 10; -4; 1}
12a_163,{-2; 10; -1; 4; -10; 20; -28; 35; -37; 34; -28; 19; -10; 4; -1}
12a_164,{-3; 9; 1; -4; 9; -16; 22; -25; 28; -24; 19; -13; 6; -3; 1}
12a_165,{-2; 10; 1; -3; 6; -9; 12; -14; 16; -14; 12; -9; 5; -3; 1}
12a_166,{-3; 9; 1; -4; 9; -16; 22; -25; 28; -24; 19; -13; 6; -3; 1}
12a_167,{-11; 1; -1; 4; -9; 15; -21; 23; -24; 22; -15; 11; -5; 2; -1}
12a_168,{-10; 2; -1; 3; -6; 9; -12; 14; -15; 14; -10; 8; -4; 2; -1}
12a_169,{-9; 3; -1; 2; -3; 4; -5; 6; -6; 6; -5; 5; -3; 2; -1}
12a_170,{-3; 9; 1; -3; 8; -14; 21; -26; 28; -27; 22; -15; 9; -4; 1}
12a_171,{-5; 7; -1; 4; -9; 17; -24; 29; -31; 29; -23; 16; -9; 4; -1}
12a_172,{-10; 2; 1; -3; 6; -11; 15; -18; 20; -18; 15; -11; 7; -3; 1}
12a_173,{-6; 6; 1; -3; 7; -13; 19; -24; 27; -25; 21; -15; 9; -4; 1}
12a_174,{-8; 4; -1; 3; -7; 13; -19; 24; -26; 25; -20; 15; -9; 4; -1}
12a_175,{-9; 3; 1; -4; 9; -16; 23; -27; 29; -27; 21; -14; 8; -3; 1}
12a_176,{-7; 5; 1; -3; 7; -12; 16; -19; 20; -18; 15; -10; 6; -3; 1}
12a_177,{-9; 3; 1; -3; 7; -14; 20; -25; 28; -25; 21; -15; 8; -3; 1}
12a_178,{-7; 5; 1; -3; 7; -12; 17; -20; 21; -20; 16; -11; 7; -3; 1}
12a_179,{-4; 8; -1; 3; -6; 11; -15; 19; -21; 20; -16; 12; -7; 3; -1}
12a_180,{-5; 7; -1; 4; -9; 16; -22; 26; -27; 25; -19; 13; -7; 3; -1}
12a_181,{-6; 6; 1; -3; 8; -14; 20; -25; 26; -24; 20; -13; 7; -3; 1}
12a_182,{-8; 4; -1; 3; -8; 15; -21; 26; -27; 25; -20; 14; -7; 3; -1}
12a_183,{-6; 6; 1; -2; 5; -9; 13; -17; 19; -18; 15; -11; 7; -3; 1}
12a_184,{-6; 6; 1; -4; 10; -19; 28; -35; 39; -36; 30; -21; 12; -5; 1}
12a_185,{-4; 8; -1; 4; -10; 19; -28; 36; -39; 38; -31; 22; -13; 5; -1}
12a_186,{-11; 1; -1; 3; -8; 15; -22; 28; -30; 29; -24; 17; -10; 5; -1}
12a_187,{-10; 2; -1; 3; -8; 15; -22; 29; -32; 31; -26; 19; -11; 5; -1}
12a_188,{-7; 5; -1; 3; -8; 16; -24; 32; -35; 34; -29; 21; -12; 5; -1}
12a_189,{-7; 5; -1; 4; -10; 18; -26; 33; -35; 34; -28; 19; -11; 5; -1}
12a_190,{-11; 1; -1; 4; -10; 18; -26; 32; -34; 32; -26; 18; -10; 5; -1}
12a_191,{-9; 3; 1; -5; 12; -22; 32; -39; 42; -39; 32; -21; 12; -5; 1}
12a_192,{-10; 2; -1; 3; -7; 13; -19; 25; -28; 27; -23; 17; -10; 5; -1}
12a_193,{-10; 2; 1; -3; 6; -10; 13; -15; 16; -14; 11; -8; 5; -2; 1}
12a_194,{-9; 3; 1; -3; 7; -13; 19; -24; 26; -24; 20; -14; 8; -3; 1}
12a_195,{-10; 2; 1; -3; 7; -13; 18; -21; 22; -20; 16; -11; 6; -2; 1}
12a_196,{-9; 3; 1; -3; 7; -12; 16; -19; 20; -18; 14; -9; 5; -2; 1}
12a_197,{-8; 4; 1; -2; 4; -6; 7; -9; 10; -9; 8; -6; 4; -2; 1}
12a_198,{-6; 6; 1; -3; 8; -15; 23; -30; 33; -32; 27; -19; 12; -5; 1}
12a_199,{0; 12; 1; -3; 9; -17; 27; -35; 39; -38; 32; -23; 14; -6; 1}
12a_200,{-9; 3; 1; -4; 10; -18; 26; -32; 34; -32; 26; -17; 10; -4; 1}
12a_201,{-8; 4; 1; -3; 7; -12; 17; -22; 24; -23; 20; -14; 9; -4; 1}
12a_202,{-7; 5; -1; 5; -12; 22; -32; 39; -42; 40; -32; 22; -12; 5; -1}
12a_203,{-8; 4; -1; 4; -9; 16; -22; 27; -29; 26; -21; 15; -8; 4; -1}
12a_204,{-7; 5; -1; 4; -8; 14; -20; 25; -27; 25; -21; 15; -8; 4; -1}
12a_205,{1; 13; 1; -2; 6; -10; 15; -19; 21; -21; 18; -13; 8; -4; 1}
12a_206,{0; 12; 1; -2; 5; -8; 12; -15; 16; -15; 13; -9; 5; -3; 1}
12a_207,{-5; 7; 1; -3; 7; -13; 18; -22; 25; -23; 20; -14; 8; -4; 1}
12a_208,{-6; 6; 1; -3; 7; -13; 19; -24; 26; -24; 21; -14; 8; -4; 1}
12a_209,{-6; 6; 1; -5; 13; -23; 33; -41; 44; -40; 33; -22; 12; -5; 1}
12a_210,{0; 12; 1; -3; 8; -14; 22; -27; 30; -29; 23; -17; 10; -4; 1}
12a_211,{-5; 7; -1; 3; -8; 14; -20; 26; -26; 25; -20; 14; -8; 3; -1}
12a_212,{-4; 8; -1; 3; -7; 12; -17; 22; -22; 22; -18; 12; -7; 3; -1}
12a_213,{-4; 8; -1; 5; -11; 20; -29; 36; -39; 37; -30; 21; -12; 5; -1}
12a_214,{-6; 6; 1; -5; 12; -21; 31; -38; 41; -38; 31; -21; 12; -5; 1}
12a_215,{-9; 3; 1; -4; 9; -16; 23; -29; 31; -28; 24; -16; 9; -4; 1}
12a_216,{-2; 10; 1; -3; 6; -10; 15; -17; 19; -18; 15; -11; 6; -3; 1}
12a_217,{-7; 5; -1; 4; -9; 16; -23; 29; -31; 29; -24; 17; -9; 4; -1}
12a_218,{-3; 9; 1; -4; 9; -15; 22; -26; 28; -25; 20; -14; 7; -3; 1}
12a_219,{-11; 1; -1; 4; -9; 15; -22; 27; -28; 26; -21; 15; -8; 4; -1}
12a_220,{-4; 8; -1; 4; -8; 15; -22; 27; -29; 28; -23; 16; -9; 4; -1}
12a_221,{-5; 7; -1; 4; -8; 14; -20; 25; -26; 24; -20; 14; -8; 4; -1}
12a_222,{-6; 6; 1; -5; 13; -23; 34; -42; 45; -42; 34; -23; 13; -5; 1}
12a_223,{-8; 4; 1; -4; 9; -16; 22; -27; 30; -27; 23; -16; 9; -4; 1}
12a_224,{-4; 8; -1; 5; -11; 20; -28; 34; -37; 34; -27; 19; -10; 4; -1}
12a_225,{-9; 3; 1; -5; 11; -19; 28; -34; 36; -33; 27; -18; 10; -4; 1}
12a_226,{0; 12; 1; -3; 8; -14; 21; -26; 29; -27; 22; -16; 9; -4; 1}
12a_227,{0; 12; 1; -4; 11; -19; 29; -36; 39; -37; 30; -21; 12; -5; 1}
12a_228,{-8; 4; -1; 4; -10; 18; -26; 33; -35; 33; -27; 19; -11; 5; -1}
12a_229,{-6; 6; 1; -3; 8; -15; 22; -29; 32; -30; 26; -18; 11; -5; 1}
12a_230,{-10; 2; -1; 4; -10; 18; -27; 34; -37; 36; -29; 21; -12; 5; -1}
12a_231,{0; 12; 1; -4; 11; -18; 26; -32; 34; -31; 25; -17; 9; -4; 1}
12a_232,{0; 12; 1; -3; 8; -14; 22; -27; 29; -28; 23; -16; 9; -4; 1}
12a_233,{-6; 6; 1; -5; 12; -21; 31; -37; 40; -37; 29; -20; 11; -4; 1}
12a_234,{-5; 7; -1; 3; -7; 12; -17; 21; -21; 21; -16; 11; -7; 3; -1}
12a_235,{-4; 8; -1; 3; -7; 13; -19; 25; -27; 27; -22; 16; -10; 4; -1}
12a_236,{1; 13; 1; -2; 5; -7; 11; -13; 14; -15; 12; -9; 6; -3; 1}
12a_237,{0; 12; 1; -3; 8; -13; 20; -24; 25; -24; 19; -13; 7; -3; 1}
12a_238,{0; 12; 1; -2; 6; -10; 16; -21; 23; -23; 19; -14; 9; -4; 1}
12a_239,{-1; 11; 1; -2; 5; -7; 10; -12; 12; -12; 10; -7; 5; -3; 1}
12a_240,{-11; 1; -1; 4; -9; 15; -22; 26; -27; 25; -19; 14; -7; 3; -1}
12a_241,{-10; 2; -1; 3; -6; 10; -15; 18; -19; 19; -15; 11; -6; 3; -1}
12a_242,{-4; 8; -1; 3; -7; 14; -20; 27; -30; 29; -25; 18; -11; 5; -1}
12a_243,{-5; 7; -1; 3; -6; 11; -15; 19; -20; 19; -16; 11; -7; 4; -1}
12a_244,{-10; 2; -1; 4; -10; 18; -28; 35; -38; 38; -30; 22; -13; 5; -1}
12a_245,{-5; 7; -1; 4; -10; 18; -26; 34; -35; 33; -28; 19; -11; 5; -1}
12a_246,{-2; 10; 1; -3; 7; -12; 17; -21; 24; -22; 19; -14; 8; -4; 1}
12a_247,{-3; 9; 1; -3; 7; -13; 19; -23; 26; -24; 20; -14; 8; -4; 1}
12a_248,{-8; 4; 1; -3; 6; -11; 16; -20; 22; -21; 19; -13; 8; -4; 1}
12a_249,{-10; 2; -1; 3; -6; 11; -17; 21; -23; 23; -19; 14; -8; 4; -1}
12a_250,{-2; 10; 1; -3; 7; -12; 18; -22; 24; -23; 20; -14; 8; -4; 1}
12a_251,{-3; 9; 1; -3; 7; -12; 18; -23; 25; -23; 20; -14; 8; -4; 1}
12a_252,{1; 13; 1; -2; 5; -9; 14; -17; 20; -20; 17; -13; 8; -4; 1}
12a_253,{0; 12; 1; -3; 7; -12; 19; -23; 25; -24; 20; -14; 8; -4; 1}
12a_254,{0; 12; 1; -2; 4; -7; 11; -13; 15; -14; 12; -9; 5; -3; 1}
12a_255,{-1; 11; 1; -3; 6; -9; 13; -15; 16; -14; 12; -9; 5; -3; 1}
12a_256,{-3; 9; 1; -4; 10; -18; 27; -32; 35; -33; 26; -18; 10; -4; 1}
12a_257,{-3; 9; 1; -4; 9; -15; 23; -28; 30; -28; 23; -16; 9; -4; 1}
12a_258,{-6; 6; 1; -4; 9; -15; 21; -25; 27; -24; 19; -13; 7; -3; 1}
12a_259,{-5; 7; 1; -3; 6; -9; 13; -16; 17; -16; 14; -10; 6; -3; 1}
12a_260,{-5; 7; 1; -4; 9; -15; 22; -26; 28; -27; 22; -15; 9; -4; 1}
12a_261,{-7; 5; -1; 4; -10; 19; -28; 35; -38; 37; -30; 21; -12; 5; -1}
12a_262,{-5; 7; 1; -4; 9; -16; 23; -27; 30; -28; 23; -16; 9; -4; 1}
12a_263,{-3; 9; 1; -3; 8; -15; 23; -29; 32; -31; 26; -18; 11; -5; 1}
12a_264,{-4; 8; -1; 6; -14; 25; -36; 44; -47; 44; -35; 24; -13; 5; -1}
12a_265,{-6; 6; 1; -5; 13; -23; 35; -44; 47; -45; 37; -25; 15; -6; 1}
12a_266,{-1; 11; -1; 4; -9; 18; -25; 32; -35; 33; -28; 19; -11; 5; -1}
12a_267,{-2; 10; -1; 4; -9; 18; -26; 33; -35; 33; -28; 19; -11; 5; -1}
12a_268,{-6; 6; 1; -5; 12; -23; 34; -41; 45; -41; 34; -23; 12; -5; 1}
12a_269,{0; 12; 1; -2; 6; -11; 17; -22; 24; -23; 20; -14; 8; -4; 1}
12a_270,{-1; 11; 1; -2; 5; -8; 11; -14; 15; -13; 12; -9; 5; -3; 1}
12a_271,{-7; 5; -1; 3; -8; 15; -21; 27; -29; 28; -23; 16; -9; 4; -1}
12a_272,{-8; 4; -1; 3; -7; 13; -19; 24; -25; 24; -20; 14; -8; 4; -1}
12a_273,{-6; 6; 1; -4; 9; -17; 25; -30; 33; -30; 25; -17; 9; -4; 1}
12a_274,{-11; 1; -1; 3; -7; 12; -17; 20; -21; 20; -15; 11; -6; 3; -1}
12a_275,{-10; 2; -1; 3; -8; 14; -20; 26; -28; 27; -22; 16; -9; 4; -1}
12a_276,{4; 16; 1; -2; 7; -11; 17; -22; 24; -24; 20; -15; 9; -4; 1}
12a_277,{3; 15; 1; -2; 6; -10; 16; -20; 22; -22; 18; -13; 8; -4; 1}
12a_278,{-8; 4; -1; 3; -7; 12; -17; 21; -21; 20; -16; 11; -6; 3; -1}
12a_279,{-7; 5; -1; 3; -7; 13; -19; 24; -26; 26; -21; 15; -9; 4; -1}
12a_280,{-3; 9; 1; -4; 9; -16; 24; -28; 31; -29; 23; -16; 9; -4; 1}
12a_281,{-1; 11; -1; 4; -9; 17; -24; 31; -33; 32; -27; 18; -11; 5; -1}
12a_282,{-6; 6; 1; -4; 10; -18; 27; -34; 37; -35; 29; -20; 12; -5; 1}
12a_283,{-8; 4; -1; 4; -10; 18; -26; 33; -35; 33; -27; 19; -11; 5; -1}
12a_284,{-4; 8; -1; 4; -9; 17; -24; 30; -32; 30; -25; 17; -9; 4; -1}
